"X201728"	"XNextWeek1"	"XNextWeek2"	"XNextWeek3"
"10029"	1625345,36142201	1394150,62734726	1652528,66125422	758394,147798111
"10035"	1246904,83655443	992326,215829198	1046674,8279114	706427,252397674
"10041"	11455163,2605671	11201485,8178489	10456522,4484369	5067497,17080342
"10042"	9398286,70148676	7436514,70034987	6940369,76925718	1956926,38280674
"10045"	11758145,3756903	11167482,2016149	10639461,1323993	3556410,35943494
"10050"	2780462,04588345	2824186,35417907	2445873,45892774	1085815,19828539
"10053"	14797901,099691	11469556,7645707	9691917,03620172	2643172,84409554
"10054"	6805303,53016906	6631486,86955701	5356503,95848867	2088077,65881886
"10057"	3382880,10197548	3048295,8056926	2656336,67562883	1388033,75007925
"10061"	3786980,57082755	4837260,66919304	5455931,87883248	2478121,12171461
"10064"	7011834,93656688	4786215,03811551	5049059,23309911	3181813,36422009
"10067"	4248878,00710494	2965738,06528608	2685684,60537579	1628130,5952443
"10072"	9357961,9271763	9947883,61044194	10135490,3469662	3467249,11024116
"10078"	7060104,14307209	8885655,61173963	9820768,15951253	3013635,73660167
"10080"	2299788,18330813	2132045,9070455	2124299,64789571	1340136,81402672
"10085"	2718364,72079135	2723196,91475799	2851401,66308035	658800,810316019
"10086"	925416,429998615	849159,036047814	921139,795067987	557010,09632684
"10087"	2460489,18848447	2310047,79138866	1604752,91100308	609871,797452322
"10090"	2497821,04792334	2329619,09852086	2209917,20716776	1358742,26154116
"10091"	2898332,00087606	2921219,87454629	3332496,62919914	2156632,15555736
"10096"	1711330,15149092	1791131,72898589	2036753,89905786	367654,24939878
"10097"	1485977,86040411	1553742,43326542	1779542,73772417	318834,456533971
"10110"	1555971,16186876	1179057,72792464	1207800,37243766	357045,320938275
"10113"	1495010,65587583	1076868,66668848	1136260,01686255	320399,194993821
"10120"	1058793,84715718	221964,604460889	252560,617239584	90969,5194674721
"10130"	1431331,08494008	1259896,55804892	1350535,68235386	560849,685825102
"10136"	30507777,9415925	12838595,5948404	10062006,0985545	1977928,93779349
"10137"	2945919,17334274	2915829,73890179	2040320,8509273	1359239,25463296
"10143"	1666720,87735408	1649527,76887345	1554313,06841503	966338,040427865
"10147"	1292022,27261804	1214565,88564767	1106857,32004576	647751,469846519
"10149"	888596,46622863	1053721,28684403	772422,472185325	407763,171876465
"10158"	500187,475224204	610886,883456931	1077022,10216615	318706,156963074
"10165"	3990430,1518617	8110367,6153031	9849360,71261236	1216229,83023781
"10168"	3588770,84545011	4525375,19942541	5638989,22454956	1942192,30208672
"10173"	0	0	0	0
"10174"	6284908,24198685	5634072,25557314	1664396,6742953	351827,070277793
"10177"	5617953,61837463	5193312,32366005	5817540,92229652	2732010,71001706
"10181"	509553,652581294	622988,221377059	770794,209061331	327925,545313939
"10183"	1120882,69996206	1428946,57715737	1685422,39621574	678611,197934153
"10186"	884212,823514132	1053594,83705903	1398960,39010061	586669,738645587
"10189"	925749,167458293	992048,849119162	1289013,16685318	1147649,50917294
"10190"	1334576,42956298	1176660,09471942	1906495,85732794	1254825,46531163
"10191"	979075,663528108	924813,604422695	1424457,27990922	814472,897738433
"10194"	2644851,39062423	1942758,91037914	3911114,26186401	1587142,70269341
"10197"	469570,240774037	687336,74919911	781109,833464989	826956,568807273
"10198"	4299973,94477393	4383020,57284167	7522102,41678637	1563695,52919811
"10200"	1010801,92699582	1432249,30844723	1641659,18141091	2736001,88054571
"10206"	1158253,7614396	2244181,72848462	1901170,94502518	1654178,9857242
"10212"	4118447,64410744	7641221,87598086	5040032,60068651	5185809,50968559
"10213"	1649685,38977119	2163614,69040873	2049346,16588054	1844423,40349835
"10214"	3277536,20031696	5263380,82548111	5918674,67832073	3410155,7698974
"10215"	524789,414487465	879398,537088351	861387,313547926	806066,611826199
"10216"	2733293,74379055	4342915,05338065	5601314,87373141	4579570,30591422
"10223"	6883623,46187086	14886816,5515507	12348697,850534	2697627,76295608
"10224"	5699614,15607282	8408193,38971674	16252677,0223352	5853987,28245099
"10229"	7802086,73823731	13544561,1768564	16191510,5357216	15329334,6388809
"10232"	1333968,8324561	1580037,93603844	1604020,43580939	1929236,33760627
"10240"	1318191,18567582	1577000,36743051	2286357,14821391	2112303,42413909
"10256"	143723,291178623	260076,700450651	347099,305500923	106964,657839972
"10258"	1754660,3281801	1784425,59861118	2449324,7478503	1162880,15391134
"10259"	1588733,6246741	1628648,67808426	2148144,42613651	938185,742855699
"10262"	927074,294891827	1105692,19857639	909635,270120249	333466,507873449
"10264"	413610,696927592	519055,463801998	449398,291617717	167373,345222426
"10275"	2877,08042349921	4208,14148577532	8996,3850658547	8296,97530295097
"10276"	69756,0747535304	89786,4752139718	151349,915550141	90078,130863507
"10281"	102925,466473421	103805,157210739	162601,52694084	197926,30632404
"10286"	0	0	0	0
"10287"	5843711,69834657	4658972,34393288	4276157,66890656	1281739,81404533
"10290"	6174356,34070235	7390749,74552283	6007770,59505806	2818566,54396559
"10291"	6860374,49699747	9194984,1408909	9387746,70195211	4298718,22152107
"10292"	5501720,81410693	8096457,69766587	8363749,78464908	3936095,87276111
"10296"	10780557,2986436	9684934,63472029	8576503,75736458	3136731,67972415
"10297"	16748666,6756062	12123769,842197	10535051,7761883	2856292,37382417
"10298"	2711172,27077446	2742438,29205985	2367793,50009019	1053035,64405598
"10300"	5517907,46209904	4598598,90961839	3957614,84003272	2656628,78302565
"10301"	4753173,09037994	4838044,52209865	3971494,89337817	1662212,67520528
"10303"	3245483,76343098	3013828,9512776	2661060,24326864	1359353,64768998
